id,location,city,state,postal_code,savannah,nj,houston,miami,chicago,email,type_id,losangeles
2,HARTFORD 06051,NEW BRITAIN,CT,6051,800,290,0,0,0,jim.costello@copart.com,1,0
3,FT. PIERCE 34946,FORT PIERCE,FL,34946,415,0,0,250,0,renita.fulger@copart.com,1,0
4,BALTIMORE 21048,FINKSBURG,MD,21048,0,340,0,0,0,kali.oneal@copart.com,1,0
5,DETROIT 48183,WOODHAVEN,MI,48183,0,650,0,0,575,logan.kilbride@copart.com,1,0
6,HARTFORD SPRINGFIELD 06026,EAST GRANBY,CT,6026,800,280,0,0,0,shaun.duncan@copart.com,1,0
7,GLASSBORO EAST 08028,GLASSBORO,NJ,8028,0,250,0,0,0,michelle.marynowicz@copart.com,1,0
8,GLASSBORO WEST 08028,GLASSBORO,NJ,8028,0,250,0,0,0,michelle.marynowicz@copart.com,1,0
9,ALBANY 12205,ALBANY,NY,12205,0,310,0,0,0,brian.constantino@copart.com,1,0
10,ORLANDO (FL) 32822,ORLANDO,FL,32822,295,0,0,250,0,"",1,0
11,PUNTA GORDA (FL) 33982,PUNTA GORDA,FL,33982,350,0,0,270,0,"",1,0
12,BALTIMORE EAST 21225,BALTIMORE,MD,21225,0,340,0,0,0,michael.dolak@copart.com,1,0
13,BILLINGS 59103,BILLINGS,MT,59103,1700,1400,0,0,0,jason.hamrick@copart.com,1,0
14,MINNEAPOLIS 55421,BLAINE,Minnes ota,55434,0,750,0,0,0,"",1,0
15,"AUSTIN, TX 78130",NEW BRAUNFELS,TX,78130,800,0,0,625,0,stefanie.loera@copart.com,1,0
16,COLUMBIA SC 29053,GASTON,SC,29053,305,550,800,450,850,"",1,0
17,ATLANTA WEST 30168,AUSTELL,GA,30168,325,0,0,380,0,renato.parris@copart.com,1,0
18,"APPLETON, WI 54914",APPLETON,WI,54914,0,750,0,0,0,nana.oseibempong@copart.com,1,0
20,ANCHORAGE 99501,ANCHORAGE,AK,99501,3000,2800,0,3800,0,alan.deile@copart.com,1,0
21,"AMARILLO, TX 79118",AMARILLO,TX,79118,900,0,0,725,0,chris.alford@copart.com,1,0
22,ALTOONA 15931,EBENSBURG,PA,15931,0,435,0,0,0,anita.eckenrode@copart.com,1,0
23,CHICAGO NORTH 60120,ELGIN,IL,60120,850,600,0,700,0,matt.fogleson@copart.com,1,0
25,BIRMINGHAM 35023,HUEYTOWN,AL,35023,470,750,0,0,0,doug.cooper@copart.com,1,0
26,HOUSTON 77073,HOUSTON,TX,77073,600,0,0,500,0,jesse.perez@copart.com,1,0
27,CARTERSVILLE 30120,CARTERSVILLE,GA,30120,375,850,0,450,0,ryan.olenick@copart.com,1,0
28,"CASPER, WY 82604",CASPER,WY,82604,1200,1100,0,0,0,"",1,0
30,CHAMBERSBURG 17201,CHAMBERSBU RG,PA,17201,800,410,0,0,0,adam.goshorn@copart.com,1,0
31,"DALLAS, TX 75051",GRAND PRAIRIE,TX,75051,750,0,0,525,0,"",1,0
32,CHINA GROVE 28023,CHINA GROVE,NC,28023,380,500,0,550,0,rafael.pla@copart.com,1,0
33,CLEVELAND EAST 44067,NORTHFIELD,OH,44067,750,490,0,0,0,caleb.kellogg@copart.com,1,0
34,CLEVELAND WEST 44028,COLUMBIA STATION,OH,44028,750,490,0,0,0,helene.sellman@copart.com,1,0
36,"COLORADO SPRINGS, CO",COLORADO SPRINGS,CO,80907,1150,800,0,0,0,samantha.crane@copart.com,1,0
