id,name,city,state,postal_code,email
1,HARTFORD 06051,NEW BRITAIN,CT,6051,jim.costello@copart.com
2,FT. PIERCE 34946,FORT PIERCE,FL,34946,renita.fulger@copart.com
3,BALTIMORE 21048,FINKSBURG,MD,21048,kali.oneal@copart.com
4,DETROIT 48183,WOODHAVEN,MI,48183,logan.kilbride@copart.com
5,HARTFORD SPRINGFIELD 06026,EAST GRANBY,CT,6026,shaun.duncan@copart.com
6,GLASSBORO EAST 08028,GLASSBORO,NJ,8028,michelle.marynowicz@copart.com
7,GLASSBORO WEST 08028,GLASSBORO,NJ,8028,michelle.marynowicz@copart.com
8,ALBANY 12205,ALBANY,NY,12205,brian.constantino@copart.com
9,ORLANDO (FL) 32822,ORLANDO,FL,32822,
10,PUNTA GORDA (FL) 33982,PUNTA GORDA,FL,33982,
11,BALTIMORE EAST 21225,BALTIMORE,MD,21225,michael.dolak@copart.com
12,BILLINGS 59103,BILLINGS,MT,59103,jason.hamrick@copart.com
13,MINNEAPOLIS 55421,BLAINE,Minnes ota,55434,
14,"AUSTIN, TX 78130",NEW BRAUNFELS,TX,78130,stefanie.loera@copart.com
15,COLUMBIA SC 29053,GASTON,SC,29053,
16,ATLANTA WEST 30168,AUSTELL,GA,30168,renato.parris@copart.com
17,"APPLETON, WI 54914",APPLETON,WI,54914,nana.oseibempong@copart.com
18,ANCHORAGE 99501,ANCHORAGE,AK,99501,alan.deile@copart.com
19,"AMARILLO, TX 79118",AMARILLO,TX,79118,chris.alford@copart.com
20,ALTOONA 15931,EBENSBURG,PA,15931,anita.eckenrode@copart.com
21,CHICAGO NORTH 60120,ELGIN,IL,60120,matt.fogleson@copart.com
22,BIRMINGHAM 35023,HUEYTOWN,AL,35023,doug.cooper@copart.com
23,HOUSTON 77073,HOUSTON,TX,77073,jesse.perez@copart.com
24,CARTERSVILLE 30120,CARTERSVILLE,GA,30120,ryan.olenick@copart.com
25,"CASPER, WY 82604",CASPER,WY,82604,
26,CHAMBERSBURG 17201,CHAMBERSBU RG,PA,17201,adam.goshorn@copart.com
27,"DALLAS, TX 75051",GRAND PRAIRIE,TX,75051,
28,CHINA GROVE 28023,CHINA GROVE,NC,28023,rafael.pla@copart.com
29,CLEVELAND EAST 44067,NORTHFIELD,OH,44067,caleb.kellogg@copart.com
30,CLEVELAND WEST 44028,COLUMBIA STATION,OH,44028,helene.sellman@copart.com
31,"COLORADO SPRINGS, CO",COLORADO SPRINGS,CO,80907,samantha.crane@copart.com
32,COLUMBIA MO 65201,COLUMBIA,MO,65201,terra.russell@copart.com
33,COLUMBUS 43207,COLUMBUS,OH,43207,chris.brown@copart.com
34,"CORPUS CHRISTI, TX 78405",CORPUS CHRISTI,TX,78405,bob.ocanas@copart.com
35,CRASHEDTOYS ATLANTA 30344,EAST POINT,GA,30344,
36,"CRASHEDTOYS EAST BETHEL, MN 55011",EAST BETHEL,MN,55011,
37,CRASHEDTOYS MINNEAPOLIS 55434,BLAINE,MN,55434,kari.bicha@copart.com
38,ATLANTA NORTH 30507,GAINESVILLE,GA,30507,eric.smart@copart.com
39,DES MOINES 50317,DES MOINES,IA,50317,jackie.wallin@copart.com
40,"EL PASO, TX 79821",Anthony,TX,79821,ignacio.elizondo@copart.com
41,FORT WAYNE 46803,FORT WAYNE,IN,46803,allison.terhune@copart.com
42,CHICAGO SOUTH 60411,CHICAGO HEIGHTS,IL,60411,miguel.ayala@copart.com
43,HAMMOND 46320,HAMMOND,IN,46320,
44,"HAMPTON,VA 23666",HAMPTON,VA,23666,ryan.alequin@copart.com
45,HELENA 59601,HELENA,MT,59601,kaitlyn.monroe@copart.com
46,HONOLULU (KAPOLEI) 96707,KAPOLEI,HI,96707,
47,HONOLULU (KAILUA-KONA) 96707,KAILUA-KONA,0,0,
48,HONOLULU ( LIHUE) 96707,LIHUE,0,0,apolonia.duclayan@copart.com
49,HONOLULU (MAUI) 96707,MAUI,0,0,
50,"ABILENE, TX 79601",ABILENE,TX,79601,danielle.stewart@copart.com
51,IA - CRASHEDTOYS ELDRIDGE,ELDRIDGE,IA,52748,
52,MADISON 53718,MADISON,WI,53718,
53,El Paso 79927,El Paso,TX,79927,
54,EXETER,EXETER,RI,2822,joshua.gaudette@copart.com
55,"MILWAUKEE, WI 53110",MILWAUKEE,WI,53110,
56,ANTELOPE 95843,ANTELOPE,CA,95843,michael.sprifke@copart.com
57,BAKERSFIELD 93307,BAKERSFIELD,CA,93307,jose.avila@copart.com
58,SACRAMENTO (CA) 95828,SACRAMENTO,CA,95828,
59,FRESNO 93725,FRESNO,CA,93725,ana.deleon@copart.com
60,EUGENE 97402,EUGENE,OR,97402,tyler.dschaak@copart.com
61,GRAHAM 98338,GRAHAM,WA,98338,robert.foehl@copart.com
62,HAYWARD 94545,HAYWARD,CA,94545,
63,"CRASHEDTOYS SACRAMENTO, CA 95828",SACRAMENTO,CA,95828,anthony.jones@copart.com
64,PITTSBURGH EAST (PA) 15611,ADAMSBURG,PA,15611,
65,DALLAS SOUTH 75172,WILMER,TX,75172,george.bailey@copart.com
66,MIAMI CENTRAL 33167,MIAMI,FL,33167,julio.feliz@copart.com
67,MONTGOMERY 36116,MONTGOMERY,AL,36116,eric.leon@copart.com
68,SEAFORD (DE) 19973,SEAFORD,DE,19973,samantha.harrell@copart.com
69,MIAMI SOUTH 33032,HOMESTEAD,FL,33032,michael.santos@copart.com
70,MACON (GA) 31008,BYRON,GA,31008,brandy.allen@copart.com
71,SAVANNAH (GA) 31405,SAVANNAH,GA,31405,allen.stewart@copart.com
72,ROCHESTER (NY) 14482,LEROY,NY,14482,scott.mccumiskey@copart.com
73,"LUMBERTON, NC 28360",LUMBERTON,NC,28360,lindsay.coats@copart.com
74,MEBANE 27302,MEBANE,NC,27302,hector.hernandez@copart.com
75,RALEIGH (NC) 28334,DUNN,NC,28334,anthony.morris3@copart.com
76,PHILADELPHIA (PA) 18073,PENNSBURG,PA,18073,edward.davidheiser@copart.com
77,PHILADELPHIA EAST (PA) 18914,CHALFONT,PA,18914,krista.nicholson@copart.com
78,SCRANTON (PA) 18642,DURYEA,PA,18642,jamie.miley@copart.com
79,MEMPHIS 38118,MEMPHIS,TN,38118,christina.beesley@copart.com
80,RUTLAND (VT) 05736,RUTLAND,VT,5736,stephen.cornwell@copart.com
81,RICHMOND (VA) 23150,SANDSTON,VA,23150,gerald.faries@copart.com
82,"RICHMOND EAST, VA 23030",CHARLES CITY,VA,23030,gerald.faries@copart.com
83,MOBILE 36613,EIGHT MILE,AL,36613,mark.bond@copart.com
84,TRENTON (NJ) 08561,WINDSOR,NJ,8561,
85,MIAMI NORTH 33054,opa locka,FL,33054,duanle.garcia@copart.com
86,FAYETTEVILLE 72753,PRAIRIE GROVE,AR,72753,jordan.nase@copart.com
87,"CICERO, IN 46034",Cicero,IN,46034,britney.parker@copart.com
88,CONCORD NC (28025 ),CONCORD,NC,28025,hilda.rebollar@copart.com
89,"MCALLEN, TX 78570",MERCEDES,TX,78570,david.landon@copart.com
90,"IONIA, MI 48875",PORTLAND,MI,48875,dawn.stinson@copart.com
91,JACKSONVILLE EAST 32209,JACKSONVILLE,FL,32209,
92,KANSAS CITY 66111,KANSAS CITY,KS,66111,erin.pinzon@copart.com
93,"LONGVIEW, TX 75603",LONGVIEW,TX,75603,jeffrey.king@copart.com
94,KINCHELOE (MI) 49788,KINCHELOE,MI,49788,jonathan.kingen@copart.com
95,KNOXVILLE 37354,MADISONVILLE,TN,37354,eddie.tredinnick@copart.com
96,LANSING 48917,LANSING,MI,48917,juan.pena1@copart.com
97,LEXINGTON EAST 40509,LEXINGTON,KY,40509,james.morgan@copart.com
98,LEXINGTON WEST 40342,LAWRENCEBU RG,KY,40342,joyce.middleton@copart.com
99,LINCOLN 68366,GREENWOOD,NE,68366,glenn.shipman@copart.com
100,LITTLE ROCK 72032,CONWAY,AR,72032,brian.anible@copart.com
101,JACKSON 39073,FLORENCE,MS,39073,charles.payne@copart.com
102,LYMAN 04002,LYMAN,ME,4002,sean.kenney@copart.com
103,OCALA 34482,OCALA,FL,34482,ryan.zbikowski@copart.com
104,NASHVILLE 37090,LEBANON,TN,37090,colin.brand@copart.com
105,NEW ORLEANS 70129,NEW ORLEANS,LA,70129,adam.kennedy@copart.com
106,OKLAHOMA CITY 73129,OKLAHOMA CITY,OK,73129,austin.hampton@copart.com
107,ORLANDO NORTH (FL),APOPKA,FL,32712,mohammed.albalawi@copart.com
108,PEORIA (IL) 61554,PEKIN,IL,61554,marcus.shipe@copart.com
109,PITTSBURGH SOUTH (PA) 15122,WEST MIFFLIN,PA,15122,william.shay@copart.com
110,"PITTSBURGH WEST, (PA) 15122",WEST MIFFLIN,PA,15122,william.shay@copart.com
111,SAN ANTONIO (TX) 78224,SAN ANTONIO,TX,78224,gina.campos@copart.com
112,SPRINGFIELD (MO) 65742,ROGERSVILLE,MO,65742,
113,SHREVEPORT (LA) 71109,SHREVEPORT,LA,71109,jeff.stuart@copart.com
114,NORTH SEATTLE 98223,ARLINGTON,WA,98223,harold.reynolds@copart.com
115,OGDEN UT,FARR WEST,UT,84404,luke.johnson@copart.com
116,PORTLAND SOUTH (OR) 97071,WOODBURN,OR,97071,andrew.stolzman@copart.com
117,REDDING (CA) 96007,ANDERSON,CA,96007,juan.ramirez@copart.com
118,RENO (NV) 89506,RENO,NV,89506,jeremy.stratton@copart.com
119,SAN BERNARDINO (CA) 92324,COLTON,CA,92324,lawrence.chen@copart.com
120,SO SACRAMENTO 95828,SACRAMENTO,CA,95828,donald.hillyard@copart.com
121,SUN VALLEY (CA) 91352,SUN VALLEY,CA,91352,alfonso.argott@copart.com
122,TUCSON AZ) 85706,TUCSON,AZ,85706,cesar.villegas@copart.com
123,SAN JOSE (CA) 95046,SAN MARTIN,CA,95046,mary.volz@copart.com
124,JACKSONVILLE NORTH 32218,JACKSONVILLE,FL,32218,robert.meacham@copart.com
125,JACKSONVILLE WEST 32220,JACKSONVILLE,FL,32220,
126,Kansas CITY  Yard 17 KS City Sublot,Kansas City,KS,66111,
127,TALLAHASSEE (FL) 32343,MIDWAY,FL,32343,garrett.wolff@copart.com
128,TAMPA SOUTH (FL) 33578,RIVERVIEW,FL,33578,james.holtmann@copart.com
129,WEST PALM BEACH (FL) 33411,WEST PALM BEACH,FL,33411,kevin.arroyave@copart.com
130,TIFTON (GA) 31794,TIFTON,GA,31794,melanie.johnson1@copart.com
131,SOUTH BOSTON (MA) 01756,MENDON,MA,1756,sean.gesner@copart.com
132,WEST WARREN (MA) 01092,WEST WARREN,MA,1092,tara.parzychowski@copart.com
