id,terminal_id,destination_id,vehicle_type_id,price
1,1,1,1,750
2,1,1,2,750
3,1,1,3,375
4,1,1,4,375
5,1,2,1,650
6,1,2,2,650
7,1,2,3,325
8,1,2,4,325
13,1,3,1,775
14,1,3,2,775
15,1,3,3,325
16,1,3,4,325
17,2,3,1,875
18,2,3,2,875
19,2,3,3,325
20,2,3,4,325
25,4,3,1,850
26,4,3,2,850
27,4,3,3,325
28,4,3,4,325
29,3,3,1,0
30,3,3,2,0
31,3,3,3,0
32,3,3,4,0
33,2,1,1,775
34,2,1,2,775
35,2,1,3,375
36,2,1,4,375
45,4,1,1,795
46,4,1,2,795
47,4,1,3,375
48,4,1,4,375
49,3,1,1,0
50,3,1,2,0
51,3,1,3,0
52,3,1,4,0
57,5,1,1,0
58,5,1,2,0
59,5,1,3,0
60,5,1,4,0
61,5,2,1,0
62,5,2,2,0
63,5,2,3,0
64,5,2,4,0
65,2,2,1,675
66,2,2,2,675
67,2,2,3,325
68,2,2,4,325
73,4,2,1,675
74,4,2,2,675
75,4,2,3,325
76,4,2,4,325
77,3,2,1,0
78,3,2,2,0
79,3,2,3,0
80,3,2,4,0
81,6,1,1,850
82,6,1,2,850
83,6,1,3,850
84,6,1,4,850
